item	itemLabel	itemDescription
http://www.wikidata.org/entity/Q74189	Wosret	Egyptian deity
http://www.wikidata.org/entity/Q1978616	Akhty	ancient Egyptian deity
http://www.wikidata.org/entity/Q965980	Yngvi	Germanic deity
http://www.wikidata.org/entity/Q47534	Anubis	Egyptian deity of mummification and the afterlife, usually depicted as a man with a canine head
http://www.wikidata.org/entity/Q930167	Sopdet	Egyptian deity
http://www.wikidata.org/entity/Q1936121	Min-Kamutef	Egyptian deity
http://www.wikidata.org/entity/Q1986464	Tenenet	Egyptian deity
http://www.wikidata.org/entity/Q790000	Banebdjedet	ancient Egyptian deity of fecondity, with a cult centre at Mendes
http://www.wikidata.org/entity/Q843206	Satis (goddess)	ancient Egyptian goddess
http://www.wikidata.org/entity/Q46491	Osiris	god of the afterlife in Egyptian mythology
http://www.wikidata.org/entity/Q846288	Meretseger	cobra-goddess in ancient Egyptian religion
http://www.wikidata.org/entity/Q1128502	Imset	Egyptian deity
http://www.wikidata.org/entity/Q1145531	Tatenen	god of the primordial mound in ancient Egyptian religion
http://www.wikidata.org/entity/Q2389033	Tayet	Egyptian goddess
http://www.wikidata.org/entity/Q809945	Basepef	mythical creature
http://www.wikidata.org/entity/Q1252904	Ra	ancient Egyptian solar deity
http://www.wikidata.org/entity/Q1627813	Horus the Child	deity
http://www.wikidata.org/entity/Q1464360	Unut	Prehistoric Egyptian snake deity, later depicted as a hare- or lion-headed goddess
http://www.wikidata.org/entity/Q45204	Menhit	Egyptian deity
http://www.wikidata.org/entity/Q1502196	Gengen Wer	god in Egyptian mythology
http://www.wikidata.org/entity/Q626032	Monthu	falcon-god of war in Ancient Egyptian religion
http://www.wikidata.org/entity/Q1164867	Duamutef	deity
http://www.wikidata.org/entity/Q683820	Haroeris	Egyptian deity, most ancient form of Horus
http://www.wikidata.org/entity/Q1261351	Krodo	Saxon God
http://www.wikidata.org/entity/Q1694089	Mercurius Cimbrianus	Mercury god of Germanic tribe of Cimbri
http://www.wikidata.org/entity/Q19282	Nehmetawy	ancient Egyptian goddess
http://www.wikidata.org/entity/Q1723406	Kamutef	Egyptian god
http://www.wikidata.org/entity/Q2062185	Petsuchos	Egyptian deity
http://www.wikidata.org/entity/Q1421762	Iusaaset	mythical character
http://www.wikidata.org/entity/Q2302818	Anput	Egyptian deity
http://www.wikidata.org/entity/Q129820	Taionjin	
http://www.wikidata.org/entity/Q7616947	Stilbon	sky god
http://www.wikidata.org/entity/Q3635344	Gogaji	folk deity
http://www.wikidata.org/entity/Q3649968	Remphan	Assyrian-Babylonian god for the planet Saturn
http://www.wikidata.org/entity/Q2410304	Naymlap	
http://www.wikidata.org/entity/Q2915029	Ameretat	
http://www.wikidata.org/entity/Q3275893	Kamiyonanayo	
http://www.wikidata.org/entity/Q3313610	Mikelats	
http://www.wikidata.org/entity/Q3950605	Sarvabuddha yogini	
http://www.wikidata.org/entity/Q4854681	Bandonga	
http://www.wikidata.org/entity/Q5555131	Ggulu	
http://www.wikidata.org/entity/Q3784473	Heitsi-eibib	Khoikhoi deity
http://www.wikidata.org/entity/Q5948622	Huayue Sanniang	
http://www.wikidata.org/entity/Q6547812	Ulu Ana	
http://www.wikidata.org/entity/Q6588106	Kyzaghan	
http://www.wikidata.org/entity/Q3812647	Kalumba	deity worshiped by the Luba people
http://www.wikidata.org/entity/Q7494303	Shenlha Okar	
http://www.wikidata.org/entity/Q179575	Ahura Mazda	highest deity of Zoroastrianism
http://www.wikidata.org/entity/Q186350	God the Father	in Christianity, the first of the three persons of the Trinity, who begets the Son and from whom the Holy Spirit proceeds
http://www.wikidata.org/entity/Q9386388	Saho-hime	
http://www.wikidata.org/entity/Q65079695	Pilanpo	bodhisattva in Chinese folk religion
http://www.wikidata.org/entity/Q7982957	Wenshu Guangfa Tianzun	fictional character
http://www.wikidata.org/entity/Q2671293	Candraprabha	bodhisattva or deva of the Lunar Palace
http://www.wikidata.org/entity/Q389081	Apaliunas	protective deity of Wilusa
http://www.wikidata.org/entity/Q395257	Agon	Ancient Greek personification of struggle or competition
http://www.wikidata.org/entity/Q4334806	Onar	deity in Mari mythology
http://www.wikidata.org/entity/Q4121361	Yer Tanrı	Turkic goddess
http://www.wikidata.org/entity/Q1761610	Sitatapatra	protector against supernatural danger in Buddhism
http://www.wikidata.org/entity/Q1020712	Sarvanivarana-Vishkambhin	
http://www.wikidata.org/entity/Q1759916	Daikokuten	Japanese deity of wealth, commerce and trade; an adaptation of the Hindu/Buddhist deity Mahākāla
http://www.wikidata.org/entity/Q591622	Palici	pair of indigenous Sicilian chthonic deities in Greek and Roman mythology
